Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,sample_ID,Sample Name,SRA Study,tissue
SRR8367185,WGS,300,6810830100,PRJNA497989,SAMN10274289,Plant,2842810175,"NANJING UNIVERSITY,CHINA",public,Col24,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Vegetative,Col-0,SRX5177560,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col24_RL2-1,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col24_RL2-1,Col24_RL2-1,SRP168517,Leaf
SRR8367186,WGS,300,6003172500,PRJNA497989,SAMN10274311,Plant,2435542807,"NANJING UNIVERSITY,CHINA",public,Col24,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Vegetative,Col-0,SRX5177559,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col24_SL5-1,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col24_SL5-1,Col24_SL5-1,SRP168517,Leaf
SRR8367187,WGS,300,7310195400,PRJNA497989,SAMN10274290,Plant,3013221280,"NANJING UNIVERSITY,CHINA",public,Col24,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Vegetative,Col-0,SRX5177558,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col24_RL2-3,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col24_RL2-3,Col24_RL2-3,SRP168517,Leaf
SRR8367188,WGS,300,8984766900,PRJNA497989,SAMN10274295,Plant,3730245949,"NANJING UNIVERSITY,CHINA",public,Col24,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Vegetative,Col-0,SRX5177557,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col24_RL4-2,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col24_RL4-2,Col24_RL4-2,SRP168517,Leaf
SRR8367189,WGS,300,10371545400,PRJNA497989,SAMN10274296,Plant,4285533968,"NANJING UNIVERSITY,CHINA",public,Col24,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Vegetative,Col-0,SRX5177556,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col24_RL4-3,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col24_RL4-3,Col24_RL4-3,SRP168517,Leaf
SRR8367190,WGS,300,10353894600,PRJNA497989,SAMN10274275,Plant,4308491578,"NANJING UNIVERSITY,CHINA",public,Col17,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Vegetative,Col-0,SRX5177555,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col17_SL4-1,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col17_SL4-1,Col17_SL4-1,SRP168517,Leaf
SRR8367191,WGS,300,5359689900,PRJNA497989,SAMN10274276,Plant,2169896197,"NANJING UNIVERSITY,CHINA",public,Col17,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Vegetative,Col-0,SRX5177554,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col17_SL4-2,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col17_SL4-2,Col17_SL4-2,SRP168517,Leaf
SRR8367192,WGS,300,8354982900,PRJNA497989,SAMN10274271,Plant,3446799652,"NANJING UNIVERSITY,CHINA",public,Col17,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Vegetative,Col-0,SRX5177553,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col17_SL2-3,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col17_SL2-3,Col17_SL2-3,SRP168517,Leaf
SRR8367193,WGS,300,8297032200,PRJNA497989,SAMN10274272,Plant,3429580654,"NANJING UNIVERSITY,CHINA",public,Col17,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Vegetative,Col-0,SRX5177552,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col17_SL3-1,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col17_SL3-1,Col17_SL3-1,SRP168517,Leaf
SRR8367194,WGS,300,9596292000,PRJNA497989,SAMN10274273,Plant,3982797273,"NANJING UNIVERSITY,CHINA",public,Col17,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Vegetative,Col-0,SRX5177551,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col17_SL3-2,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col17_SL3-2,Col17_SL3-2,SRP168517,Leaf
SRR8367195,WGS,300,8537259900,PRJNA497989,SAMN10274274,Plant,3543592718,"NANJING UNIVERSITY,CHINA",public,Col17,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Vegetative,Col-0,SRX5177550,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col17_SL3-3,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col17_SL3-3,Col17_SL3-3,SRP168517,Leaf
SRR8367196,WGS,300,5285987400,PRJNA497989,SAMN10274267,Plant,2232380729,"NANJING UNIVERSITY,CHINA",public,Col17,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Vegetative,Col-0,SRX5177549,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col17_SL1-2,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col17_SL1-2,Col17_SL1-2,SRP168517,Leaf
SRR8367197,WGS,300,4950044400,PRJNA497989,SAMN10274268,Plant,2139060691,"NANJING UNIVERSITY,CHINA",public,Col17,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Vegetative,Col-0,SRX5177548,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col17_SL1-3,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col17_SL1-3,Col17_SL1-3,SRP168517,Leaf
SRR8367198,WGS,300,4978476900,PRJNA497989,SAMN10274269,Plant,2159979236,"NANJING UNIVERSITY,CHINA",public,Col17,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Vegetative,Col-0,SRX5177547,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col17_SL2-1,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col17_SL2-1,Col17_SL2-1,SRP168517,Leaf
SRR8367199,WGS,300,10298561400,PRJNA497989,SAMN10274270,Plant,4246162468,"NANJING UNIVERSITY,CHINA",public,Col17,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Vegetative,Col-0,SRX5177546,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col17_SL2-2,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col17_SL2-2,Col17_SL2-2,SRP168517,Leaf
SRR8367200,WGS,300,4935776400,PRJNA497989,SAMN10274287,Plant,2063424332,"NANJING UNIVERSITY,CHINA",public,Col24,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Vegetative,Col-0,SRX5177545,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col24_RL1-2,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col24_RL1-2,Col24_RL1-2,SRP168517,Leaf
SRR8367201,WGS,300,7454778900,PRJNA497989,SAMN10274316,Plant,3028586863,"NANJING UNIVERSITY,CHINA",public,Col24,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Vegetative,Col-0,SRX5177544,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col24_SL7-2,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col24_SL7-2,Col24_SL7-2,SRP168517,Leaf
SRR8367202,WGS,300,4999654800,PRJNA497989,SAMN10274288,Plant,2088945764,"NANJING UNIVERSITY,CHINA",public,Col24,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Vegetative,Col-0,SRX5177543,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col24_RL1-3,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col24_RL1-3,Col24_RL1-3,SRP168517,Leaf
SRR8367203,WGS,300,7303251900,PRJNA497989,SAMN10274307,Plant,2953132597,"NANJING UNIVERSITY,CHINA",public,Col24,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Vegetative,Col-0,SRX5177542,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col24_SL3-3,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col24_SL3-3,Col24_SL3-3,SRP168517,Leaf
SRR8367204,WGS,300,6728369400,PRJNA497989,SAMN10274308,Plant,2723874177,"NANJING UNIVERSITY,CHINA",public,Col24,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Vegetative,Col-0,SRX5177541,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col24_SL4-1,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col24_SL4-1,Col24_SL4-1,SRP168517,Leaf
SRR8367205,WGS,300,5739577500,PRJNA497989,SAMN10274309,Plant,2407466206,"NANJING UNIVERSITY,CHINA",public,Col24,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Vegetative,Col-0,SRX5177540,China,Asia,"China: Nanjing University\, Jiangsu",Illumina HiSeq 4000,Col24_SL4-2,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-06T00:00:00Z,Col24_SL4-2,Col24_SL4-2,SRP168517,Leaf
